ps_name,ps_code_unified,used_by_registration_types
ROOP NAGAR,060,E_THEFT;E_MVT;NCRP;ZERO_FIR
SADAR BAZAR,061,E_THEFT;E_MVT;NCRP;ZERO_FIR
SAFDARJUNG ENCLAVE,229,E_THEFT;E_MVT;NCRP;ZERO_FIR
SAGAR PUR,113,E_THEFT;E_MVT;NCRP;ZERO_FIR
SAKET,075,E_THEFT;E_MVT;NCRP;ZERO_FIR
SAMAIPUR BADLI,224,E_THEFT;E_MVT;NCRP;ZERO_FIR
SANGAM VIHAR,079,E_THEFT;E_MVT;NCRP;ZERO_FIR
SARAI ROHILLA,062,E_THEFT;E_MVT;NCRP;ZERO_FIR
SARAI ROHILLA STATION,038,E_THEFT;E_MVT;NCRP;ZERO_FIR
SARITA VIHAR,185,E_THEFT;E_MVT;NCRP;ZERO_FIR
SAROJINI NAGAR,230,E_THEFT;E_MVT;NCRP;ZERO_FIR
SECTOR 23 DWARKA,167,E_THEFT;E_MVT;NCRP;ZERO_FIR
SEELAMPUR,141,E_THEFT;E_MVT;NCRP;ZERO_FIR
SEEMAPURI,203,E_THEFT;E_MVT;NCRP;ZERO_FIR
SHAHBAD DAIRY,221,E_THEFT;E_MVT;NCRP;ZERO_FIR
SHAHDARA,200,E_THEFT;E_MVT;NCRP;ZERO_FIR
SHAHEEN BAGH,191,E_THEFT;E_MVT;NCRP;ZERO_FIR
SHAKARPUR,228,E_THEFT;E_MVT;NCRP;ZERO_FIR
SHALIMAR BAGH,131,E_THEFT;E_MVT;NCRP;ZERO_FIR
SHASHTRI PARK METRO,006,E_THEFT;E_MVT;NCRP;ZERO_FIR
SHASTRI PARK,148,E_THEFT;E_MVT;NCRP;ZERO_FIR
SONIA VIHAR,146,E_THEFT;E_MVT;NCRP;ZERO_FIR
SOUTH AVENUE,050,E_THEFT;E_MVT;NCRP;ZERO_FIR
SOUTH CAMPUS,116,E_THEFT;E_MVT;NCRP;ZERO_FIR
SOUTH ROHINI,210,E_THEFT;E_MVT;NCRP;ZERO_FIR
SPECIAL CELL,234,E_THEFT;E_MVT;NCRP;ZERO_FIR
SUBHASH PLACE,132,E_THEFT;E_MVT;NCRP;ZERO_FIR
SUBZI MANDI,063,E_THEFT;E_MVT;NCRP;ZERO_FIR
SUBZI MANDI RAILWAY STATION,040,E_THEFT;E_MVT;NCRP;ZERO_FIR
SULTANPURI,152,E_THEFT;E_MVT;NCRP;ZERO_FIR
SUNLIGHT COLONY,188,E_THEFT;E_MVT;NCRP;ZERO_FIR
SUPREME COURT METRO,238,E_THEFT;E_MVT;NCRP;ZERO_FIR
SWAROOP NAGAR,218,E_THEFT;E_MVT;NCRP;ZERO_FIR
TIGRI,082,E_THEFT;E_MVT;NCRP;ZERO_FIR
TILAK MARG,048,E_THEFT;E_MVT;NCRP;ZERO_FIR
TILAK NAGAR,105,E_THEFT;E_MVT;NCRP;ZERO_FIR
TIMARPUR,064,E_THEFT;E_MVT;NCRP;ZERO_FIR
TUGHLAK ROAD,049,E_THEFT;E_MVT;NCRP;ZERO_FIR
UTTAM NAGAR,170,E_THEFT;E_MVT;NCRP;ZERO_FIR
VASANT KUNJ NORTH,117,E_THEFT;E_MVT;NCRP;ZERO_FIR
VASANT KUNJ SOUTH,118,E_THEFT;E_MVT;NCRP;ZERO_FIR
VASANT VIHAR,119,E_THEFT;E_MVT;NCRP;ZERO_FIR
VIGILANCE PS,226,E_THEFT;E_MVT;NCRP;ZERO_FIR
VIJAY VIHAR,209,E_THEFT;E_MVT;NCRP;ZERO_FIR
VIKASPURI,106,E_THEFT;E_MVT;NCRP;ZERO_FIR
VIVEK VIHAR,194,E_THEFT;E_MVT;NCRP;ZERO_FIR
WAZIRABAD,066,E_THEFT;E_MVT;NCRP;ZERO_FIR
WELCOME,142,E_THEFT;E_MVT;NCRP;ZERO_FIR
YAMUNA DEPOT METRO,001,E_THEFT;E_MVT;NCRP;ZERO_FIR
